2033;02;08;10;48;09;EXP_Candy_XL
2037;05;08;06;23;39;Ability_Patch
2018;01;24;09;29;28;Gold_Bottle_Cap
2056;08;06;15;52;42;PP_Max
2055;09;02;10;54;50;Master_Ball
2049;01;02;01;20;22;Safari_Ball
2034;09;01;02;33;39;Fast_Ball
2057;08;02;07;24;45;Level_Ball
2057;11;21;04;28;37;Lure_Ball
2056;07;31;09;23;57;Heavy_Ball
2059;10;07;02;39;54;Love_Ball
2046;12;11;02;23;17;Friend_Ball
2031;10;08;05;26;34;Moon_Ball
2028;04;07;04;15;56;Sport_Ball
2043;10;23;16;32;45;Dream_Ball
2023;09;24;08;27;16;Beast_Ball
2005;05;21;15;30;56;Normal_Tera_Shards
2054;08;05;03;35;10;Fire_Tera_Shards
2027;04;22;14;01;45;Water_Tera_Shards
2040;11;15;04;12;36;Electric_Tera_Shards
2004;03;31;02;00;57;Grass_Tera_Shards
2018;11;08;10;00;51;Ice_Tera_Shards
2025;07;25;18;12;50;Fighting_Tera_Shards
2001;09;03;02;14;28;Poison_Tera_Shards
2016;05;15;14;18;09;Ground_Tera_Shards
2055;06;10;06;03;31;Flying_Tera_Shards
2039;06;02;02;15;13;Psychic_Tera_Shards
2044;08;29;13;04;46;Bug_Tera_Shards
2046;09;09;00;48;46;Rock_Tera_Shards
2057;01;05;02;09;53;Ghost_Tera_Shards
2026;02;07;09;55;41;Dragon_Tera_Shards
2020;11;08;19;53;56;Dark_Tera_Shards
2019;03;30;06;49;09;Steel_Tera_Shards
2055;01;13;14;40;36;Fairy_Tera_Shards
2044;05;11;19;56;47;Stellar_Tera_Shards
